datetime,respond_timestamp,quote,Pred_Signal,buy_power,accuracy
2022-04-20 11:17,2022-04-20 11:17,998.19,0,39.5,0.7658730158730159
2022-04-20 11:18,2022-04-20 11:18,998.38,1,39.5,0.7698412698412699
2022-04-20 11:19,2022-04-20 11:19,997.61,-1,39.5,0.7698412698412699
2022-04-20 11:20,2022-04-20 11:20,996.5,0,39.5,0.7509881422924901
2022-04-20 11:21,2022-04-20 11:21,996.47,0,39.5,0.7747035573122529
2022-04-20 11:22,2022-04-20 11:22,997.98,1,39.5,0.7470355731225297
2022-04-20 11:23,2022-04-20 11:23,997.38,0,39.5,0.7747035573122529
2022-04-20 11:24,2022-04-20 11:24,996.36,0,39.5,0.7747035573122529
2022-04-20 11:25,2022-04-20 11:25,994.8,0,39.5,0.7677165354330708
2022-04-20 11:26,2022-04-20 11:26,994.82,-1,39.5,0.7637795275590551
2022-04-20 11:27,2022-04-20 11:27,995.32,0,39.5,0.7677165354330708
2022-04-20 11:28,2022-04-20 11:28,994.44,0,39.5,0.7637795275590551
2022-04-20 11:29,2022-04-20 11:29,994.58,0,39.5,0.7637795275590551
2022-04-20 11:30,2022-04-20 11:30,995.18,-1,39.5,0.7568627450980392
2022-04-20 11:31,2022-04-20 11:31,996.4,0,39.5,0.7647058823529411
2022-04-20 11:32,2022-04-20 11:32,996.86,0,39.5,0.7686274509803922
2022-04-20 11:33,2022-04-20 11:33,996.97,0,39.5,0.7607843137254902
2022-04-20 11:34,2022-04-20 11:34,995.27,1,39.5,0.7568627450980392
2022-04-20 11:35,2022-04-20 11:35,995.24,-1,39.5,0.75390625
2022-04-20 11:36,2022-04-20 11:36,997.37,0,39.5,0.75390625
2022-04-20 11:37,2022-04-20 11:37,996.36,-1,39.5,0.75390625
2022-04-20 11:38,2022-04-20 11:38,996.8,0,39.5,0.75
2022-04-20 11:39,2022-04-20 11:39,996.16,0,39.5,0.75
2022-04-20 11:40,2022-04-20 11:40,995.57,0,39.5,0.7470817120622568
2022-04-20 11:41,2022-04-20 11:41,996.32,0,39.5,0.7509727626459144
2022-04-20 11:42,2022-04-20 11:42,997.37,1,39.5,0.7431906614785992
2022-04-20 11:43,2022-04-20 11:43,995.1,0,39.5,0.7509727626459144
2022-04-20 11:44,2022-04-20 11:44,994.82,0,39.5,0.7509727626459144
2022-04-20 11:45,2022-04-20 11:45,995.38,0,39.5,0.751937984496124
2022-04-20 11:46,2022-04-20 11:46,997.25,0,39.5,0.7558139534883721
2022-04-20 11:47,2022-04-20 11:47,997.12,0,39.5,0.7558139534883721
2022-04-20 11:48,2022-04-20 11:48,996.22,0,39.5,0.751937984496124
2022-04-20 11:49,2022-04-20 11:49,995.32,1,39.5,0.751937984496124
2022-04-20 11:50,2022-04-20 11:50,994.31,1,39.5,0.752895752895753
2022-04-20 11:51,2022-04-20 11:51,991.83,-1,39.5,0.7606177606177607
2022-04-20 11:52,2022-04-20 11:52,989.66,0,39.5,0.7644787644787645
2022-04-20 11:53,2022-04-20 11:53,988.99,1,39.5,0.7644787644787645
2022-04-20 11:54,2022-04-20 11:54,989.9,-1,39.5,0.7683397683397684
2022-04-20 11:55,2022-04-20 11:55,989.3,1,39.5,0.7653846153846153
2022-04-20 11:56,2022-04-20 11:56,989.36,0,39.5,0.7653846153846153
2022-04-20 11:57,2022-04-20 11:57,990.27,0,39.5,0.7692307692307693
2022-04-20 11:58,2022-04-20 11:58,988.7,-1,39.5,0.7692307692307693
2022-04-20 11:59,2022-04-20 11:59,989.13,0,39.5,0.7730769230769231
2022-04-20 12:00,2022-04-20 12:00,990.18,0,39.5,0.7701149425287356
2022-04-20 12:01,2022-04-20 12:01,988.82,0,39.5,0.7701149425287356
2022-04-20 12:02,2022-04-20 12:02,988.7,0,39.5,0.7701149425287356
2022-04-20 12:03,2022-04-20 12:03,988.97,0,39.5,0.7662835249042146
2022-04-20 12:04,2022-04-20 12:04,989.01,0,39.5,0.7662835249042146
2022-04-20 12:05,2022-04-20 12:05,988.93,0,39.5,0.7671755725190841
2022-04-20 12:06,2022-04-20 12:06,987.89,0,39.5,0.7709923664122137
2022-04-20 12:07,2022-04-20 12:07,987.38,0,39.5,0.7709923664122137
2022-04-20 12:08,2022-04-20 12:08,987.14,0,39.5,0.7671755725190841
2022-04-20 12:09,2022-04-20 12:09,984.0,-1,39.5,0.7633587786259542
2022-04-20 12:10,2022-04-20 12:10,983.69,0,39.5,0.7642585551330798
2022-04-20 12:11,2022-04-20 12:11,982.82,-1,39.5,0.7642585551330798
2022-04-20 12:12,2022-04-20 12:12,982.22,-1,39.5,0.7642585551330798
2022-04-20 12:13,2022-04-20 12:13,981.96,0,39.5,0.7642585551330798
2022-04-20 12:14,2022-04-20 12:14,982.64,1,39.5,0.752851711026616
2022-04-20 12:15,2022-04-20 12:15,981.38,-1,39.5,0.7537878787878788
2022-04-20 12:16,2022-04-20 12:16,982.21,0,39.5,0.7575757575757576
